"filename", "language", "JSON", "JavaScript", "CSS", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CreateSchedule\CreateScheduleControls.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CreateSchedule\CreateScheduleForm.jsx", "JavaScript JSX", 0, 0, 0, 204, 0, 0, 0, 4, 208
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\CreateSchedule\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ButtonHiddenInput.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ButtonSubmit.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ButtonUpload.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\EquipmentCard.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 3, 46
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\FormEquipmentStats.jsx", "JavaScript JSX", 0, 0, 0, 106, 0, 0, 0, 5, 111
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ImageContainer.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ImagePreviewGroup.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 4, 2, 18
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\ImageUploader.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 8, 4, 38
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Equipment\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 2, 44
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Icons.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 3, 45
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\InputErrorBar.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Loading.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Modal.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\NavBar\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 71, 0, 0, 1, 8, 80
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\NavBar\NavBarDropDownMenu.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\NavBar\NavBarNavButtons.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\OverflowSpanTooltip.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Overview\ChartSection.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 2, 5, 51
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Overview\OverviewBlock.jsx", "JavaScript JSX", 0, 0, 0, 74, 0, 0, 0, 5, 79
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\Overview\OverviewControls.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\RunAndTrainingDetails\TypeSelectOptions.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 2, 37
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\RunAndTrainingDetails\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\SocialMedia.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 1, 1, 21
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\StartupDelay.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\charts\LineChart.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 5, 4, 43
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\charts\LineChartTimeVelocity.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 4, 4, 46
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\components\index.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 2, 42
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\context\AuthContextProvider.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 6, 11, 61
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\context\ModalContext.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\context\ModalContextProvider.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\context\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\data\auth.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 6, 74
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\data\image.js", "JavaScript", 0, 30, 0, 0, 0, 0, 1, 8, 39
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\data\runs.js", "JavaScript", 0, 106, 0, 0, 0, 0, 5, 16, 127
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\data\schedules.js", "JavaScript", 0, 103, 0, 0, 0, 0, 1, 9, 113
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\data\user.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 8, 80
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\index.css", "CSS", 0, 0, 37, 0, 0, 0, 8, 5, 50
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\layouts\AuthLayout.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 2, 6, 15
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\layouts\RootLayout.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 8, 8, 51
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\layouts\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\fileHandling.js", "JavaScript", 0, 37, 0, 0, 0, 0, 1, 7, 45
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\miscDataHooks.js", "JavaScript", 0, 35, 0, 0, 0, 0, 69, 13, 117
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useCalendarLoading.js", "JavaScript", 0, 77, 0, 0, 0, 0, 4, 14, 95
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useCalendarViewToggles.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 5, 18
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useCreateScheduleForm.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 7, 52
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useEquipmentData.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 10, 75
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useEquipmentDetails.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 17, 147
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useEquipmentForm.js", "JavaScript", 0, 81, 0, 0, 0, 0, 5, 10, 96
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useGetCalendarOrder.js", "JavaScript", 0, 19, 0, 0, 0, 0, 3, 7, 29
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useProcessGpxData.js", "JavaScript", 0, 75, 0, 0, 0, 0, 6, 11, 92
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\hooks\useSaveNewSchedule.js", "JavaScript", 0, 33, 0, 0, 0, 0, 1, 7, 41
"c:\Daten\workspaces\workspaceWD\FinalProject\running-scheduler\fe-running-scheduler\src\lib\inputVerification.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 4, 83
